ID,"Nottingham, UK","Derby, UK","Northampton, UK","Reading, UK","Birmingham, UK","Sheffield, UK","Lincoln, UK","Exeter, UK","Oxford, UK","Brighton, UK","Noewich, UK","Liverpool, UK","Edinburgh, UK","Manchester, UK","Glasgow, UK","Bristol, UK","London, UK","Cambridge, UK"
5.2.15,,,,,,,,62.50,,37.50,,,,,,,,
5.5.1,,,,,,,,20.39,16.56,23.96,,,18.55,20.54,,,,
5.5.3,,,,,,,,25.56,14.65,26.38,,,13.12,20.29,,,,
5.5.5,,,,,,,,46.09,18.64,15.78,,,7.21,12.28,,,,
5.5.10,,,,,,,,57.67,15.27,10.76,,,6.08,10.21,,,,
5.5.15,,,,,,,,36.36,20.11,21.81,,,8.14,13.57,,,,
3.2.1,,,,,,,,,,,,69.31,,,30.69,,,
3.2.3,,,,,,,,,,,,60.37,,,39.63,,,
3.2.5,,,,,,,,,,,,85.29,,,14.71,,,
3.2.10,,,,,,,,,,,,66.88,,,33.12,,,
3.2.15,,,,,,,,,,,,66.49,,,33.51,,,
