ID,"Nottingham, UK","Derby, UK","Northampton, UK","Reading, UK","Birmingham, UK","Sheffield, UK","Lincoln, UK","Exeter, UK","Oxford, UK","Brighton, UK","Noewich, UK","Liverpool, UK","Edinburgh, UK","Manchester, UK","Glasgow, UK","Bristol, UK","London, UK","Cambridge, UK"
2.2.10,,,,55.71,,,,,,,,,,,,44.29,,
2.2.15,,,,55.71,,,,,,,,,,,,44.29,,
2.5.1,,,,10.74,,,,26.97,,,,,16.99,,,18.63,26.66,
2.5.3,,,,2.88,,,,2.73,,,,,1.96,,,89.34,3.08,
2.5.5,,,,27.58,,,,13.72,,,,,18.79,,,10.43,29.48,
2.5.10,,,,30.82,,,,12.67,,,,,15.13,,,17.65,23.73,
2.5.15,,,,21.93,,,,23.72,,,,,13.46,,,17.43,23.45,
2.10.1,,,,10.28,,,8.07,11.11,5.14,,,7.03,7.00,21.24,10.99,8.17,10.99,
2.10.3,,,,5.91,,,8.53,11.75,9.90,,,11.61,3.74,22.45,11.61,2.89,11.61,
2.10.5,,,,11.42,,,4.48,12.35,6.41,,,12.21,7.78,23.61,4.56,4.95,12.21,
2.10.10,,,,7.56,,,9.38,12.92,5.00,,,7.26,3.90,24.69,7.03,9.50,12.77,
2.10.15,,,,12.45,,,9.77,6.89,12.45,,,13.31,8.48,12.06,13.31,4.89,6.36,
3.5.1,,,,,,25.98,17.13,,,,,23.64,,,23.64,,9.61,
3.5.3,,,,,,17.91,20.38,,,,,19.39,,,14.20,,28.12,
3.5.5,,,,,,20.21,15.52,,,,,21.42,,,21.42,,21.42,
3.5.10,,,,,,31.26,11.56,,,,,14.22,,,28.44,,14.51,
3.5.15,,,,,,22.78,15.02,,,,,20.73,,,20.73,,20.73,
5.2.1,,,,,,,,52.79,,47.21,,,,,,,,
5.2.3,,,,,,,,59.39,,40.61,,,,,,,,
5.2.5,,,,,,,,51.02,,48.98,,,,,,,,
5.2.10,,,,,,,,52.79,,47.21,,,,,,,,
5.2.15,,,,,,,,68.37,,31.63,,,,,,,,
5.5.1,,,,,,,,18.75,23.25,13.95,,,8.59,35.45,,,,
5.5.3,,,,,,,,21.23,26.33,18.99,,,20.15,13.30,,,,
5.5.5,,,,,,,,16.74,20.76,14.97,,,15.89,31.64,,,,
5.5.10,,,,,,,,19.05,9.84,17.03,,,18.08,36.00,,,,
5.5.15,,,,,,,,16.74,20.76,14.97,,,15.89,31.64,,,,
3.2.1,,,,,,,,,,,,50.00,,,50.00,,,
3.2.3,,,,,,,,,,,,50.00,,,50.00,,,
3.2.5,,,,,,,,,,,,64.41,,,35.59,,,
3.2.10,,,,,,,,,,,,49.75,,,50.25,,,
3.2.15,,,,,,,,,,,,50.00,,,50.00,,,
